shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
foundation_models-2015-09-claude,2015,09,foundation_models,claude,claude,1441065600,1443657600,2015-09-01,2015-10-01
foundation_models-2015-09-gemini,2015,09,foundation_models,gemini,gemini,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-ai-safety,2015,09,doomer,ai safety,ai-safety,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-alignment,2015,09,doomer,alignment,alignment,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-misalignment,2015,09,doomer,misalignment,misalignment,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-existential-risk,2015,09,doomer,existential risk,existential-risk,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-x-risk,2015,09,doomer,x-risk,x-risk,1441065600,1443657600,2015-09-01,2015-10-01
doomer-2015-09-p-doom,2015,09,doomer,p(doom),p-doom,1441065600,1443657600,2015-09-01,2015-10-01
accelerationist-2015-09-e-acc,2015,09,accelerationist,e/acc,e-acc,1441065600,1443657600,2015-09-01,2015-10-01
accelerationist-2015-09-accelerationism,2015,09,accelerationist,accelerationism,accelerationism,1441065600,1443657600,2015-09-01,2015-10-01
accelerationist-2015-09-techno-optimism,2015,09,accelerationist,techno-optimism,techno-optimism,1441065600,1443657600,2015-09-01,2015-10-01
accelerationist-2015-09-abundance-agenda,2015,09,accelerationist,abundance agenda,abundance-agenda,1441065600,1443657600,2015-09-01,2015-10-01
accelerationist-2015-09-abundance,2015,09,accelerationist,abundance,abundance,1441065600,1443657600,2015-09-01,2015-10-01
broad_ai-2015-10-artificial-intelligence,2015,10,broad_ai,artificial intelligence,artificial-intelligence,1443657600,1446336000,2015-10-01,2015-11-01
broad_ai-2015-10-machine-learning,2015,10,broad_ai,machine learning,machine-learning,1443657600,1446336000,2015-10-01,2015-11-01
broad_ai-2015-10-deep-learning,2015,10,broad_ai,deep learning,deep-learning,1443657600,1446336000,2015-10-01,2015-11-01
broad_ai-2015-10-neural-network,2015,10,broad_ai,neural network,neural-network,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-gpt,2015,10,foundation_models,gpt,gpt,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-llm,2015,10,foundation_models,llm,llm,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-chatgpt,2015,10,foundation_models,chatgpt,chatgpt,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-openai,2015,10,foundation_models,openai,openai,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-claude,2015,10,foundation_models,claude,claude,1443657600,1446336000,2015-10-01,2015-11-01
foundation_models-2015-10-gemini,2015,10,foundation_models,gemini,gemini,1443657600,1446336000,2015-10-01,2015-11-01
doomer-2015-10-ai-safety,2015,10,doomer,ai safety,ai-safety,1443657600,1446336000,2015-10-01,2015-11-01
doomer-2015-10-alignment,2015,10,doomer,alignment,alignment,1443657600,1446336000,2015-10-01,2015-11-01
doomer-2015-10-misalignment,2015,10,doomer,misalignment,misalignment,1443657600,1446336000,2015-10-01,2015-11-01
doomer-2015-10-existential-risk,2015,10,doomer,existential risk,existential-risk,1443657600,1446336000,2015-10-01,2015-11-01
doomer-2015-10-x-risk,2015,10,doomer,x-risk,x-risk,1443657600,1446336000,2015-10-01,2015-11-01
